Arıza Detayı,stemmed_text
Combustion sensor faulty or issue with combustion sensor cable,combust sensor faulti issu combust sensor cabl
Fuel supply pump faulty or issue with fuel supply pump cable,fuel suppli pump faulti issu fuel suppli pump cabl
MAF Air Flow Circuit Range Performance Problem,maf air flow circuit rang perform problem
MAF Air Flow Circuit Low Input,maf air flow circuit low input
MAF Air Flow Circuit High Input,maf air flow circuit high input
Integrated Circuit Temperature Sensor High Input,integr circuit temperatur sensor high input
Engine Temperature Sensor High Input,engin temperatur sensor high input
Throttle Position Sensor Circuit Low Input,throttl posit sensor circuit low input
Throttle Position Sensor Circuit High Input,throttl posit sensor circuit high input
Oxygen Sensor Circuit Malfunction (Bank 1 Sensor 1),oxygen sensor circuit malfunct bank sensor
Oxygen Sensor Circuit Slow Response (Bank 1 Sensor 1),oxygen sensor circuit slow respons bank sensor
Oxygen Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),oxygen sensor heater circuit malfunct bank sensor
Fuel Air Mixture Lean (Bank 1),fuel air mixtur lean bank
Fuel Air Mixture Rich (Bank 1),fuel air mixtur rich bank
Random Multiple Cylinder Misfire Detected,random multipl cylind misfir detect
Cylinder 1 Misfire Detected,cylind misfir detect
Cylinder 2 Misfire Detected,cylind misfir detect
Cylinder 3 Misfire Detected,cylind misfir detect
Cylinder 4 Misfire Detected,cylind misfir detect
Cylinder 1 Knock Sensor Circuit Malfunction,cylind knock sensor circuit malfunct
Cylinder 1 Knock Sensor Circuit Low Input,cylind knock sensor circuit low input
Cylinder 1 Knock Sensor Circuit High Input,cylind knock sensor circuit high input
Exhaust Gas Recirculation Circuit Malfunction,exhaust ga recircul circuit malfunct
Exhaust Gas Recirculation Circuit Performance,exhaust ga recircul circuit perform
Catalytic Converter Efficiency Below Threshold (Bank 1),catalyt convert effici threshold bank
Evaporative Emission Control System Malfunction,evapor emiss control system malfunct
Evaporative Emission Control System Performance,evapor emiss control system perform
Small Evaporative Emission Control System Leak Detected,small evapor emiss control system leak detect
Evaporative Emission Control System Control Valve Circuit Malfunction,evapor emiss control system control valv circuit malfunct
Vehicle Speed Sensor Circuit Malfunction,vehicl speed sensor circuit malfunct
Throttle Control Malfunction,throttl control malfunct
Low Charge Condition,low charg condit
A Camshaft Position Actuator Circuit (Bank 1),camshaft posit actuat circuit bank
Air Flow Circuit Mass or Volume Range Performance Problem,air flow circuit mass volum rang perform problem
System Too Lean (Bank 1),system lean bank
Random Multiple Cylinder Misfire Detected,random multipl cylind misfir detect
Ignition Distributor Engine Speed Input Circuit No Signal,ignit distributor engin speed input circuit signal
Exhaust Gas Recirculation Flow Insufficient Detected,exhaust ga recircul flow insuffici detect
Catalytic Converter System Efficiency Below Threshold (Bank 1),catalyt convert system effici threshold bank
Evaporative Emission Control System Malfunction,evapor emiss control system malfunct
Evaporative Emission Control System Leak Detected (large leak),evapor emiss control system leak detect larg leak
Idle Control System RPM Lower Than Expected,idl control system rpm lower expect
Internal Control Module Memory Checksum Error,intern control modul memori checksum error
Generator Control Circuit Malfunction,gener control circuit malfunct
Transmission Control System Malfunction,transmiss control system malfunct
Output Speed Sensor Circuit Malfunction,output speed sensor circuit malfunct
Torque Converter Clutch Circuit Malfunction,torqu convert clutch circuit malfunct
Shift Solenoid A Malfunction,shift solenoid malfunct
Mass Air Flow Sensor Self-Test Out of Range,mass air flow sensor selftest rang
Long-Term Fuel Trim B1 System Too Lean,longterm fuel trim system lean
Long-Term Fuel Trim Additional Fuel B1 System Too Lean,longterm fuel trim addit fuel system lean
Load Calculation Cross Check Range Performance Problem,load calcul cross check rang perform problem
Fuel System Lean During Acceleration B1,fuel system lean acceler
Fuel Delivery System Malfunction – High,fuel deliveri system malfunct high
Fuel Control Bank 1 Sensor 1 Signal Out of Range,fuel control bank sensor signal rang
Oxygen Sensor Circuit – Bank 1 Sensor 2 Circuit High Voltage,oxygen sensor circuit bank sensor circuit high voltag
Series Throttle Control Error,seri throttl control error
Needle Lift Sensor Malfunction,needl lift sensor malfunct
Fuel Pump Secondary Circuit Malfunction,fuel pump secondari circuit malfunct
Engine Coolant Temperature Circuit Malfunction,engin coolant temperatur circuit malfunct
CAN-H link to FR/CPC faulty,canh link frcpc faulti
CAN-H link to ADM faulty,canh link adm faulti
CAN-L link to FR/CPC faulty,canl link frcpc faulti
CAN-L link to ADM faulty,canl link adm faulti
Data from control unit FR/CPC faulty,data control unit frcpc faulti
Data from control unit ADM faulty,data control unit adm faulti
CAN link to FR/CPC faulty,link frcpc faulti
CAN link to ADM faulty,link adm faulti
CAN parameterizing error,parameter error
Malfunction of high speed CAN bus to SCR frame module on Euro-4/5 engine,malfunct high speed bu scr frame modul engin
Crankshaft position sensor Short circuit to ground,crankshaft posit sensor short circuit ground
"Crankshaft position sensor Open circuit, Short circuit to positive",crankshaft posit sensor open circuit short circuit posit
"Crankshaft position sensor, signal too low",crankshaft posit sensor signal low
"Crankshaft position sensor, assignment of crankshaft and camshaft signal is errored.",crankshaft posit sensor assign crankshaft camshaft signal error
"Crankshaft position sensor, no signal",crankshaft posit sensor signal
Crankshaft position sensor has incorrect polarity.,crankshaft posit sensor incorrect polar
Camshaft position sensor has Short circuit to ground.,camshaft posit sensor short circuit ground
Camshaft position sensor has Open circuit or Short circuit to positive.,camshaft posit sensor open circuit short circuit posit
"Camshaft position sensor, no signal",camshaft posit sensor signal
Camshaft position sensor incorrect polarity,camshaft posit sensor incorrect polar
Control unit MR engine control detects too high engine speed.,control unit mr engin control detect high engin speed
No signal 'Fan speed'.,signal fan speed
The fan rpm is too low.,fan rpm low
Temperature downstream of catalytic converter is too high.,temperatur downstream catalyt convert high
Catalytic converter is not present.,catalyt convert present
Temperature upstream of catalytic converter is too high (threshold 1 exceeded).,temperatur upstream catalyt convert high threshold exceed
Temperature upstream of catalytic converter is too high (threshold 2 exceeded).,temperatur upstream catalyt convert high threshold exceed
Temperature upstream of catalytic converter is too high (reduced engine output).,temperatur upstream catalyt convert high reduc engin output
"Temperature sensor upstream of catalytic converter has Short circuit to positive,Open circuit.",temperatur sensor upstream catalyt convert short circuit positiveopen circuit
Temperature sensor upstream of catalytic converter has Short circuit to ground.,temperatur sensor upstream catalyt convert short circuit ground
"Temperature sensor downstream of catalytic converter has Short circuit to positive, Open circuit.",temperatur sensor downstream catalyt convert short circuit posit open circuit
Temperature sensor downstream of catalytic converter has Short circuit to ground.,temperatur sensor downstream catalyt convert short circuit ground
"Oil temperature sensor has gone above measuring range (Open circuit, Short circuit to positive).",oil temperatur sensor gone measur rang open circuit short circuit posit
Oil temperature sensor has gone below measuring range (Short circuit to ground).,oil temperatur sensor gone measur rang short circuit ground
"Fuel temperature sensor, above measuring range ( Open circuit Short circuit to positive)",fuel temperatur sensor measur rang open circuit short circuit posit
"Fuel temperature sensor, below measuring range ( Short circuit to ground)",fuel temperatur sensor measur rang short circuit ground
"'Charge pressure and charge air temperature' combination sensor: temperature sensor, above measured range (Open circuit Short circuit to positive)",charg pressur charg air temperatur combin sensor temperatur sensor measur rang open circuit short circuit posit
"'Charge pressure and charge air temperature' combination sensor: temperature sensor, below measured range (Short circuit to ground)",charg pressur charg air temperatur combin sensor temperatur sensor measur rang short circuit ground
"Atmospheric pressure sensor, above measuring range ( Open circuit Short circuit to positive)",atmospher pressur sensor measur rang open circuit short circuit posit
"Atmospheric pressure sensor, below measuring range ( Short circuit to ground)",atmospher pressur sensor measur rang short circuit ground
"'Charge pressure and charge air temperature' combination sensor: pressure sensor, above measured range (Open circuit Short circuit to positive)",charg pressur charg air temperatur combin sensor pressur sensor measur rang open circuit short circuit posit
"'Charge pressure and charge air temperature' combination sensor: pressure sensor, below measured range (Short circuit to ground)",charg pressur charg air temperatur combin sensor pressur sensor measur rang short circuit ground
"'Charge pressure and charge air temperature' combination sensor: pressure sensor, measured value implausible",charg pressur charg air temperatur combin sensor pressur sensor measur valu implaus
"Coolant temperature sensor, above measuring range ( Open circuit Short circuit to positive)",coolant temperatur sensor measur rang open circuit short circuit posit
"Coolant temperature sensor, below measuring range ( Short circuit to ground)",coolant temperatur sensor measur rang short circuit ground
"Oil pressure sensor, above measuring range ( Open circuit Short circuit to positive)",oil pressur sensor measur rang open circuit short circuit posit
"Oil pressure sensor, measuring range not reached (Short circuit to ground)",oil pressur sensor measur rang reach short circuit ground
"Oil pressure sensor, measured value implausible",oil pressur sensor measur valu implaus
Combined input (Pin 28):Measuring range exceeded,combin input pin rang exceed
Combined input (Pin 28):Readout below range,combin input pin rang
Combined input (Pin 28):Signal implausible,combin input pin implaus
Boost circuit faulty,boost circuit faulti
Boost pressure too high,boost pressur high
Boost air temperature exceeded,boost air temperatur exceed
Turbocharger-Vehicle speed has synchronization fault.,turbochargervehicl speed synchron fault
Manipulated variable deviation of boost pressure control is too great.,manipul variabl deviat boost pressur control great
Charge pressure deviation is too large.,charg pressur deviat larg
The charge pressure for braking operation is not reached.,charg pressur brake oper reach
Boost circuit faulty,boost circuit faulti
Measured value of fuel pressure sensor is implausible.,measur valu fuel pressur sensor implaus
Measured value of oil pressure sensor is implausible.,measur valu oil pressur sensor implaus
Oil pressure is too low.,oil pressur low
Oil pressure is too low.,oil pressur low
The engine oil level is too high or too low.,engin oil level high low
Coolant temperature is too high.,coolant temperatur high
Terminal 15 of control unit MR or FR/CPC has Open circuit.,termin control unit mr frcpc open circuit
Terminal 15 of control unit MR or ADM has Open circuit.,termin control unit mr adm open circuit
Terminal 50 of control unit MR or FR/CPC has Open circuit.,termin control unit mr frcpc open circuit
Terminal 50 of control unit MR or ADM has Open circuit.,termin control unit mr adm open circuit
The differential fuel pressure sensor has Open circuit.,differenti fuel pressur sensor open circuit
"The differential fuel pressure sensor has Short circuit to positive,Short circuit to ground.",differenti fuel pressur sensor short circuit positiveshort circuit ground
System-Voltage,systemvoltag
The reference voltage of the sensors is not available.,refer voltag sensor avail
Internal control module error,intern control modul error
Control unit EEPROM error,control unit eeprom error
Error message of control module software,error messag control modul softwar
"Control unit fault, internal temperature sensor",control unit fault intern temperatur sensor
Component 'Intake air temperature (raw value)' is transmitting a faulty signal.,compon intak air temperatur raw valu transmit faulti signal
Component 'Crankshaft sensor' is transmitting a faulty signal.,compon crankshaft sensor transmit faulti signal
CAN high signal of system CAN busFAULTY,high signal system busfaulti
Injector fault cylinder 1,injector fault cylind
Injector fault cylinder 2,injector fault cylind
Injector fault cylinder 3,injector fault cylind
Injector fault cylinder 4,injector fault cylind
Injector fault cylinder 5,injector fault cylind
Injector fault cylinder 6,injector fault cylind
Component Low-pressure sensor is faulty.,compon lowpressur sensor faulti
Component Injector monitor module is faulty.,compon injector monitor modul faulti
A leak (gross leak) was detected in the natural gas system on the low-pressure side.,leak gross leak detect natur ga system lowpressur side
A leak (gross leak) was detected in the natural gas system on the high-pressure side.,leak gross leak detect natur ga system highpressur side
Fuel pressure sensor signal implausible,fuel pressur sensor signal implaus
Component 'Safety valve' is transmitting a faulty signal.(Natural gas),compon safeti valv transmit faulti signalnatur ga
There is an internal electrical fault in the component 'Throttle valve output stage'.,intern electr fault compon throttl valv output stage
The throttle valve actuator has a malfunction.,throttl valv actuat malfunct
Fault in communication with component Constant control of coolant temperature.,fault commun compon constant control coolant temperatur
Component 'Outside air temperature sensor' delivers erratic values.,compon outsid air temperatur sensor deliv errat valu
Component Charge air pressure sensor is faulty.,compon charg air pressur sensor faulti
The air pressure sensor has a malfunction.,air pressur sensor malfunct
Measured value of fuel pressure sensor is implausible.,measur valu fuel pressur sensor implaus
Increased leakage was detected at component 'Y107/2 (Safety shutoff valve)'.,increas leakag detect compon safeti shutoff valv
Component 'Fuel level sensor' delivers no signal or an implausible signal.,compon fuel level sensor deliv signal implaus signal
Fault in system Fuel,fault system fuel
Leakage in fuel system,leakag fuel system
Reserved(1),
Component Fuel injector has an open circuit in the wiring.,compon fuel injector open circuit wire
Reserved(2),
Reserved(3),
Reserved(4),
Component Oxygen sensor is sporadically faulty.,compon oxygen sensor sporad faulti
Heating current of O2 sensor(Output reduced),heat current sensoroutput reduc
Internal fault in component Oxygen sensor:,intern fault compon oxygen sensor
Cable to oil level sensor has Open circuit.,cabl oil level sensor open circuit
"Oil level sensor Short circuit to positive, measuring range exceeded",oil level sensor short circuit posit measur rang exceed
Oil level sensor: below measured range,oil level sensor measur rang
"Oil level sensor , readout implausible",oil level sensor readout implaus
"The turbocharger rpm sensor has Open circuit,Short circuit to positive,Short circuit to ground.",turbocharg rpm sensor open circuitshort circuit positiveshort circuit ground
"The turbocharger rpm sensor has Short circuit to positive, Open circuit.",turbocharg rpm sensor short circuit posit open circuit
The turbocharger rpm sensor has Short circuit to ground.,turbocharg rpm sensor short circuit ground
The rpm signal from the alternator is missing (timeout).,rpm signal altern miss timeout
The NOx sensor has a communication fault.,nox sensor commun fault
"The NOx sensor has Short circuit to positive,Open circuit.",nox sensor short circuit positiveopen circuit
The NOx sensor has Short circuit to ground.,nox sensor short circuit ground
Excessive nitrogen oxide emission (threshold 1 exceeded),excess nitrogen oxid emiss threshold exceed
Excessive nitrogen oxide emission (threshold 2 exceeded),excess nitrogen oxid emiss threshold exceed
"Fuel pressure sensor, above measuring range ( Open circuit Short circuit to positive)",fuel pressur sensor measur rang open circuit short circuit posit
"Fuel pressure sensor, below measuring range ( Short circuit to ground)",fuel pressur sensor measur rang short circuit ground
Charge air temperature sensor 2 has Open circuit.,charg air temperatur sensor open circuit
Charge air temperature sensor 2 has Short circuit.,charg air temperatur sensor short circuit
