Arıza Detayı,lemmatized_text
Combustion tube clogged or combustion tube ventilation hole clogged,combustion tube clogged combustion tube ventilation hole clogged
Combustion sensor faulty or issue with combustion sensor cable,combustion sensor faulty issue combustion sensor cable
Fuel supply pump faulty or issue with fuel supply pump cable,fuel supply pump faulty issue fuel supply pump cable
MAF Air Flow Circuit Range Performance Problem,maf air flow circuit range performance problem
MAF Air Flow Circuit Low Input,maf air flow circuit low input
MAF Air Flow Circuit High Input,maf air flow circuit high input
Integrated Circuit Temperature Sensor High Input,integrated circuit temperature sensor high input
Engine Temperature Sensor High Input,engine temperature sensor high input
Throttle Position Sensor Circuit Low Input,throttle position sensor circuit low input
Throttle Position Sensor Circuit High Input,throttle position sensor circuit high input
Oxygen Sensor Circuit Malfunction (Bank 1 Sensor 1),oxygen sensor circuit malfunction bank sensor
Oxygen Sensor Circuit Slow Response (Bank 1 Sensor 1),oxygen sensor circuit slow response bank sensor
Oxygen Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),oxygen sensor heater circuit malfunction bank sensor
Fuel Air Mixture Lean (Bank 1),fuel air mixture lean bank
Fuel Air Mixture Rich (Bank 1),fuel air mixture rich bank
Random Multiple Cylinder Misfire Detected,random multiple cylinder misfire detected
Cylinder 1 Misfire Detected,cylinder misfire detected
Cylinder 2 Misfire Detected,cylinder misfire detected
Cylinder 3 Misfire Detected,cylinder misfire detected
Cylinder 4 Misfire Detected,cylinder misfire detected
Cylinder 1 Knock Sensor Circuit Malfunction,cylinder knock sensor circuit malfunction
Cylinder 1 Knock Sensor Circuit Low Input,cylinder knock sensor circuit low input
Cylinder 1 Knock Sensor Circuit High Input,cylinder knock sensor circuit high input
Exhaust Gas Recirculation Circuit Malfunction,exhaust gas recirculation circuit malfunction
Exhaust Gas Recirculation Circuit Performance,exhaust gas recirculation circuit performance
Catalytic Converter Efficiency Below Threshold (Bank 1),catalytic converter efficiency threshold bank
Evaporative Emission Control System Malfunction,evaporative emission control system malfunction
Evaporative Emission Control System Performance,evaporative emission control system performance
Small Evaporative Emission Control System Leak Detected,small evaporative emission control system leak detected
Evaporative Emission Control System Control Valve Circuit Malfunction,evaporative emission control system control valve circuit malfunction
Vehicle Speed Sensor Circuit Malfunction,vehicle speed sensor circuit malfunction
Throttle Control Malfunction,throttle control malfunction
Low Charge Condition,low charge condition
A Camshaft Position Actuator Circuit (Bank 1),camshaft position actuator circuit bank
Air Flow Circuit Mass or Volume Range Performance Problem,air flow circuit mass volume range performance problem
System Too Lean (Bank 1),system lean bank
Random Multiple Cylinder Misfire Detected,random multiple cylinder misfire detected
Ignition Distributor Engine Speed Input Circuit No Signal,ignition distributor engine speed input circuit signal
Exhaust Gas Recirculation Flow Insufficient Detected,exhaust gas recirculation flow insufficient detected
Catalytic Converter System Efficiency Below Threshold (Bank 1),catalytic converter system efficiency threshold bank
Evaporative Emission Control System Malfunction,evaporative emission control system malfunction
Evaporative Emission Control System Leak Detected (large leak),evaporative emission control system leak detected large leak
Idle Control System RPM Lower Than Expected,idle control system rpm lower expected
Internal Control Module Memory Checksum Error,internal control module memory checksum error
Generator Control Circuit Malfunction,generator control circuit malfunction
Transmission Control System Malfunction,transmission control system malfunction
Output Speed Sensor Circuit Malfunction,output speed sensor circuit malfunction
Torque Converter Clutch Circuit Malfunction,torque converter clutch circuit malfunction
Shift Solenoid A Malfunction,shift solenoid malfunction
Mass Air Flow Sensor Self-Test Out of Range,mass air flow sensor selftest range
Long-Term Fuel Trim B1 System Too Lean,longterm fuel trim system lean
Long-Term Fuel Trim Additional Fuel B1 System Too Lean,longterm fuel trim additional fuel system lean
Load Calculation Cross Check Range Performance Problem,load calculation cross check range performance problem
Fuel System Lean During Acceleration B1,fuel system lean acceleration
Fuel Delivery System Malfunction – High,fuel delivery system malfunction high
Fuel Control Bank 1 Sensor 1 Signal Out of Range,fuel control bank sensor signal range
Oxygen Sensor Circuit – Bank 1 Sensor 2 Circuit High Voltage,oxygen sensor circuit bank sensor circuit high voltage
Series Throttle Control Error,series throttle control error
Needle Lift Sensor Malfunction,needle lift sensor malfunction
Fuel Pump Secondary Circuit Malfunction,fuel pump secondary circuit malfunction
Engine Coolant Temperature Circuit Malfunction,engine coolant temperature circuit malfunction
CAN-H link to FR/CPC faulty,canh link frcpc faulty
CAN-H link to ADM faulty,canh link adm faulty
CAN-L link to FR/CPC faulty,canl link frcpc faulty
CAN-L link to ADM faulty,canl link adm faulty
Data from control unit FR/CPC faulty,data control unit frcpc faulty
Data from control unit ADM faulty,data control unit adm faulty
CAN link to FR/CPC faulty,link frcpc faulty
CAN link to ADM faulty,link adm faulty
CAN parameterizing error,parameterizing error
Malfunction of high speed CAN bus to SCR frame module on Euro-4/5 engine,malfunction high speed bus scr frame module engine
Crankshaft position sensor Short circuit to ground,crankshaft position sensor short circuit ground
"Crankshaft position sensor Open circuit, Short circuit to positive",crankshaft position sensor open circuit short circuit positive
"Crankshaft position sensor, signal too low",crankshaft position sensor signal low
"Crankshaft position sensor, assignment of crankshaft and camshaft signal is errored.",crankshaft position sensor assignment crankshaft camshaft signal errored
"Crankshaft position sensor, no signal",crankshaft position sensor signal
Crankshaft position sensor has incorrect polarity.,crankshaft position sensor incorrect polarity
Camshaft position sensor has Short circuit to ground.,camshaft position sensor short circuit ground
Camshaft position sensor has Open circuit or Short circuit to positive.,camshaft position sensor open circuit short circuit positive
"Camshaft position sensor, no signal",camshaft position sensor signal
Camshaft position sensor incorrect polarity,camshaft position sensor incorrect polarity
Control unit MR engine control detects too high engine speed.,control unit mr engine control detects high engine speed
No signal 'Fan speed'.,signal fan speed
The fan rpm is too low.,fan rpm low
Temperature downstream of catalytic converter is too high.,temperature downstream catalytic converter high
Catalytic converter is not present.,catalytic converter present
Temperature upstream of catalytic converter is too high (threshold 1 exceeded).,temperature upstream catalytic converter high threshold exceeded
Temperature upstream of catalytic converter is too high (threshold 2 exceeded).,temperature upstream catalytic converter high threshold exceeded
Temperature upstream of catalytic converter is too high (reduced engine output).,temperature upstream catalytic converter high reduced engine output
"Temperature sensor upstream of catalytic converter has Short circuit to positive,Open circuit.",temperature sensor upstream catalytic converter short circuit positiveopen circuit
Temperature sensor upstream of catalytic converter has Short circuit to ground.,temperature sensor upstream catalytic converter short circuit ground
"Temperature sensor downstream of catalytic converter has Short circuit to positive, Open circuit.",temperature sensor downstream catalytic converter short circuit positive open circuit
Temperature sensor downstream of catalytic converter has Short circuit to ground.,temperature sensor downstream catalytic converter short circuit ground
"Oil temperature sensor has gone above measuring range (Open circuit, Short circuit to positive).",oil temperature sensor gone measuring range open circuit short circuit positive
Oil temperature sensor has gone below measuring range (Short circuit to ground).,oil temperature sensor gone measuring range short circuit ground
"Fuel temperature sensor, above measuring range ( Open circuit Short circuit to positive)",fuel temperature sensor measuring range open circuit short circuit positive
"Fuel temperature sensor, below measuring range ( Short circuit to ground)",fuel temperature sensor measuring range short circuit ground
"'Charge pressure and charge air temperature' combination sensor: temperature sensor, above measured range (Open circuit Short circuit to positive)",charge pressure charge air temperature combination sensor temperature sensor measured range open circuit short circuit positive
"'Charge pressure and charge air temperature' combination sensor: temperature sensor, below measured range (Short circuit to ground)",charge pressure charge air temperature combination sensor temperature sensor measured range short circuit ground
"Atmospheric pressure sensor, above measuring range ( Open circuit Short circuit to positive)",atmospheric pressure sensor measuring range open circuit short circuit positive
"Atmospheric pressure sensor, below measuring range ( Short circuit to ground)",atmospheric pressure sensor measuring range short circuit ground
"'Charge pressure and charge air temperature' combination sensor: pressure sensor, above measured range (Open circuit Short circuit to positive)",charge pressure charge air temperature combination sensor pressure sensor measured range open circuit short circuit positive
"'Charge pressure and charge air temperature' combination sensor: pressure sensor, below measured range (Short circuit to ground)",charge pressure charge air temperature combination sensor pressure sensor measured range short circuit ground
"'Charge pressure and charge air temperature' combination sensor: pressure sensor, measured value implausible",charge pressure charge air temperature combination sensor pressure sensor measured value implausible
"Coolant temperature sensor, above measuring range ( Open circuit Short circuit to positive)",coolant temperature sensor measuring range open circuit short circuit positive
"Coolant temperature sensor, below measuring range ( Short circuit to ground)",coolant temperature sensor measuring range short circuit ground
"Oil pressure sensor, above measuring range ( Open circuit Short circuit to positive)",oil pressure sensor measuring range open circuit short circuit positive
"Oil pressure sensor, measuring range not reached (Short circuit to ground)",oil pressure sensor measuring range reached short circuit ground
"Oil pressure sensor, measured value implausible",oil pressure sensor measured value implausible
Combined input (Pin 28):Measuring range exceeded,combined input pin range exceeded
Combined input (Pin 28):Readout below range,combined input pin range
Combined input (Pin 28):Signal implausible,combined input pin implausible
Boost circuit faulty,boost circuit faulty
Boost pressure too high,boost pressure high
Boost air temperature exceeded,boost air temperature exceeded
Turbocharger-Vehicle speed has synchronization fault.,turbochargervehicle speed synchronization fault
Manipulated variable deviation of boost pressure control is too great.,manipulated variable deviation boost pressure control great
Charge pressure deviation is too large.,charge pressure deviation large
The charge pressure for braking operation is not reached.,charge pressure braking operation reached
Boost circuit faulty,boost circuit faulty
Measured value of fuel pressure sensor is implausible.,measured value fuel pressure sensor implausible
Measured value of oil pressure sensor is implausible.,measured value oil pressure sensor implausible
Oil pressure is too low.,oil pressure low
Oil pressure is too low.,oil pressure low
The engine oil level is too high or too low.,engine oil level high low
Coolant temperature is too high.,coolant temperature high
Terminal 15 of control unit MR or FR/CPC has Open circuit.,terminal control unit mr frcpc open circuit
Terminal 15 of control unit MR or ADM has Open circuit.,terminal control unit mr adm open circuit
Terminal 50 of control unit MR or FR/CPC has Open circuit.,terminal control unit mr frcpc open circuit
Terminal 50 of control unit MR or ADM has Open circuit.,terminal control unit mr adm open circuit
The differential fuel pressure sensor has Open circuit.,differential fuel pressure sensor open circuit
"The differential fuel pressure sensor has Short circuit to positive,Short circuit to ground.",differential fuel pressure sensor short circuit positiveshort circuit ground
System-Voltage,systemvoltage
The reference voltage of the sensors is not available.,reference voltage sensor available
Internal control module error,internal control module error
Control unit EEPROM error,control unit eeprom error
Error message of control module software,error message control module software
"Control unit fault, internal temperature sensor",control unit fault internal temperature sensor
Component 'Intake air temperature (raw value)' is transmitting a faulty signal.,component intake air temperature raw value transmitting faulty signal
Component 'Crankshaft sensor' is transmitting a faulty signal.,component crankshaft sensor transmitting faulty signal
CAN high signal of system CAN busFAULTY,high signal system busfaulty
Injector fault cylinder 1,injector fault cylinder
Injector fault cylinder 2,injector fault cylinder
Injector fault cylinder 3,injector fault cylinder
Injector fault cylinder 4,injector fault cylinder
Injector fault cylinder 5,injector fault cylinder
Injector fault cylinder 6,injector fault cylinder
Component Low-pressure sensor is faulty.,component lowpressure sensor faulty
Component Injector monitor module is faulty.,component injector monitor module faulty
A leak (gross leak) was detected in the natural gas system on the low-pressure side.,leak gross leak detected natural gas system lowpressure side
A leak (gross leak) was detected in the natural gas system on the high-pressure side.,leak gross leak detected natural gas system highpressure side
Fuel pressure sensor signal implausible,fuel pressure sensor signal implausible
Component 'Safety valve' is transmitting a faulty signal.(Natural gas),component safety valve transmitting faulty signalnatural gas
There is an internal electrical fault in the component 'Throttle valve output stage'.,internal electrical fault component throttle valve output stage
The throttle valve actuator has a malfunction.,throttle valve actuator malfunction
Fault in communication with component Constant control of coolant temperature.,fault communication component constant control coolant temperature
Component 'Outside air temperature sensor' delivers erratic values.,component outside air temperature sensor delivers erratic value
Component Charge air pressure sensor is faulty.,component charge air pressure sensor faulty
The air pressure sensor has a malfunction.,air pressure sensor malfunction
Measured value of fuel pressure sensor is implausible.,measured value fuel pressure sensor implausible
Increased leakage was detected at component 'Y107/2 (Safety shutoff valve)'.,increased leakage detected component safety shutoff valve
Component 'Fuel level sensor' delivers no signal or an implausible signal.,component fuel level sensor delivers signal implausible signal
Fault in system Fuel,fault system fuel
Leakage in fuel system,leakage fuel system
Reserved(1),
Component Fuel injector has an open circuit in the wiring.,component fuel injector open circuit wiring
Reserved(2),
Reserved(3),
Reserved(4),
Component Oxygen sensor is sporadically faulty.,component oxygen sensor sporadically faulty
Heating current of O2 sensor(Output reduced),heating current sensoroutput reduced
Internal fault in component Oxygen sensor:,internal fault component oxygen sensor
Cable to oil level sensor has Open circuit.,cable oil level sensor open circuit
"Oil level sensor Short circuit to positive, measuring range exceeded",oil level sensor short circuit positive measuring range exceeded
Oil level sensor: below measured range,oil level sensor measured range
"Oil level sensor , readout implausible",oil level sensor readout implausible
"The turbocharger rpm sensor has Open circuit,Short circuit to positive,Short circuit to ground.",turbocharger rpm sensor open circuitshort circuit positiveshort circuit ground
"The turbocharger rpm sensor has Short circuit to positive, Open circuit.",turbocharger rpm sensor short circuit positive open circuit
The turbocharger rpm sensor has Short circuit to ground.,turbocharger rpm sensor short circuit ground
The rpm signal from the alternator is missing (timeout).,rpm signal alternator missing timeout
The NOx sensor has a communication fault.,nox sensor communication fault
"The NOx sensor has Short circuit to positive,Open circuit.",nox sensor short circuit positiveopen circuit
The NOx sensor has Short circuit to ground.,nox sensor short circuit ground
Excessive nitrogen oxide emission (threshold 1 exceeded),excessive nitrogen oxide emission threshold exceeded
Excessive nitrogen oxide emission (threshold 2 exceeded),excessive nitrogen oxide emission threshold exceeded
"Fuel pressure sensor, above measuring range ( Open circuit Short circuit to positive)",fuel pressure sensor measuring range open circuit short circuit positive
"Fuel pressure sensor, below measuring range ( Short circuit to ground)",fuel pressure sensor measuring range short circuit ground
Charge air temperature sensor 2 has Open circuit.,charge air temperature sensor open circuit
Charge air temperature sensor 2 has Short circuit.,charge air temperature sensor short circuit
