"fault code","code description"
"2460","System-Voltage"
"2461","The reference voltage of the sensors is not available."
"2462","Internal control module error"
"2463","Control unit EEPROM error"
"2464","Error message of control module software"
"2465","Control unit fault, internal temperature sensor"
"2466","Component 'Intake air temperature (raw value)' is transmitting a faulty signal."
"2467","Component 'Crankshaft sensor' is transmitting a faulty signal."
"2468","CAN high signal of system CAN busFAULTY"
"2469","Injector fault cylinder 1"
"2470","Injector fault cylinder 2"
"2471","Injector fault cylinder 3"
"2472","Injector fault cylinder 4"
"2473","Injector fault cylinder 5"
"2474","Injector fault cylinder 6"
"2475","Component Low-pressure sensor is faulty."
"2476","Component Injector monitor module is faulty."
"2477","A leak (gross leak) was detected in the natural gas system on the low-pressure side."
"2478","A leak (gross leak) was detected in the natural gas system on the high-pressure side."
"2479","Fuel pressure sensor signal implausible"
"2480","Component 'Safety valve' is transmitting a faulty signal.(Natural gas)"
"2481","There is an internal electrical fault in the component 'Throttle valve output stage'."
"2482","The throttle valve actuator has a malfunction."
"2483","Fault in communication with component Constant control of coolant temperature."
"2484","Component 'Outside air temperature sensor' delivers erratic values."
"2485","Component Charge air pressure sensor is faulty."
"2486","The air pressure sensor has a malfunction."
"2487","Measured value of fuel pressure sensor is implausible."
"2488","Increased leakage was detected at component 'Y107/2 (Safety shutoff valve)'."
"2489","Component 'Fuel level sensor' delivers no signal or an implausible signal."
"2490","Fault in system Fuel"
"2491","Leakage in fuel system"
"2492","Reserved(1)"
"2493","Component Fuel injector has an open circuit in the wiring."
"2494","Reserved(2)"
"2495","Reserved(3)"
"2496","Reserved(4)"
"2497","Component Oxygen sensor is sporadically faulty."
"2498","Heating current of O2 sensor(Output reduced)"
"2499","Internal fault in component Oxygen sensor:"
"2509","Cable to oil level sensor has Open circuit."
"2515","Oil level sensor Short circuit to positive, measuring range exceeded"
"2516","Oil level sensor: below measured range"
"2517","Oil level sensor , readout implausible"
"2612","The turbocharger rpm sensor has Open circuit,Short circuit to positive,Short circuit to ground."
"2615","The turbocharger rpm sensor has Short circuit to positive, Open circuit."
"2616","The turbocharger rpm sensor has Short circuit to ground."
"2712","The rpm signal from the alternator is missing (timeout)."
"2804","The NOx sensor has a communication fault."
"2815","The NOx sensor has Short circuit to positive,Open circuit."
"2816","The NOx sensor has Short circuit to ground."
"2971","Excessive nitrogen oxide emission (threshold 1 exceeded)"
"2972","Excessive nitrogen oxide emission (threshold 2 exceeded)"
"3015","Fuel pressure sensor, above measuring range ( Open circuit Short circuit to positive)"
"3016","Fuel pressure sensor, below measuring range ( Short circuit to ground)"
"3115","Charge air temperature sensor 2 has Open circuit."
"3116","Charge air temperature sensor 2 has Short circuit."
"3215","Exhaust gas recirculation temperature sensor has Open circuit."
"3216","Exhaust gas recirculation temperature sensor has Short circuit."
"3332","Exhaust gas recirculation temperature is outside the specified value range."
"3415","Air humidity sensor has Short circuit to positive, Open circuit."
"3416","Air humidity sensor has Short circuit to ground."
"3515","Air temperature sensor has Short circuit to positive,Open circuit."
"3516","Air temperature sensor has Short circuit to ground."
"3604","CAN message 'Air temperature' is missing."
"3617","Measurement value from ambient air temperature sensor is implausible."
"3706","The SCR compressed air switching valve has Short circuit to ground."
"3707","The SCR compressed air switching valve has Short circuit to positive."
"3709","The SCR compressed air switching valve has Open circuit."
"3817","Measured values of temperature sensors at catalytic converter are implausible."
"3906","AdBlue pump has Short circuit to ground."
"3907","AdBlue pump has Short circuit to positive."
"3909","AdBlue pump has Open circuit."
"4024","Internal fault in control unit"
"4034","Internal fault in control unit"
"4035","Internal fault in control unit"
"4036","Internal fault in control unit"
"4037","Internal fault in control unit"
"4038","Internal fault in control unit"
"4039","Starter actuation (output stage) faulty"
"4040","Internal fault in control unit"
"4041","Internal fault in control unit"
"4047","Internal fault in control unit"
"4048","Internal fault in control unit"
"4049","Invalid parameterization for proportioning valves"
"4050","Internal fault in control unit"
"4051","Internal fault in control unit"
"4052","Internal fault in control unit"
"4053","Internal fault in control unit"
"4054","Internal fault in control unit"
"4056","Internal fault in control unit"
"4058","The data record in control module MR engine control has been manipulated."
"4092","Internal fault in control unit"
"4149","Engine brake is incorrectly parameterized."
"4200","Proportioning valve 5 has Short circuit to positive."
"4201","Proportioning valve 5 has Short circuit to ground."
"4202","Proportioning valve 7 has Short circuit to ground."
"4203","Proportioning valve 7 has Open circuit."
"4204","Proportioning valve 7 has Short circuit to positive."
"4205","The position sensor of the throttle valve has Short circuit to positive,Open circuit."
"4206","The position sensor of the throttle valve has Short circuit to ground."
"4207","The temperature sensor upstream of the diesel oxidation catalytic converter has Short circuit to positive,Open circuit."
"4208","The temperature sensor upstream of the diesel oxidation catalytic converter has Short circuit to ground."
"4209","The temperature sensor downstream of the diesel oxidation catalytic converter has Short circuit to positive,Open circuit."
"4210","The temperature sensor downstream of the diesel oxidation catalytic converter has Short circuit to ground."
"4211","The differential pressure sensor upstream of the diesel particulate filter has Short circuit to positive,Open circuit."
"4212","The differential pressure sensor upstream of the diesel particulate filter has Short circuit to ground."
"4213","The differential pressure sensor downstream of the diesel particulate filter has Short circuit to positive,Open circuit."
"4214","The differential pressure sensor downstream of the diesel particulate filter has Short circuit to ground."
"4215","The pressure differential in the diesel particulate filter is too high."
"4217","The control deviation of the throttle valve is too high."
"4218","The throttle valve reference cycle failed."
"4219","The diffusor in the AdBlue metering unit is clogged."
"4221","The diffusor heater has Open circuit."
"4222","The diffusor heater has Short circuit to ground."
"4223","The diffusor heater has Short circuit to positive."
"4224","Internal fault in control unit"
"4225","The proportioning valve bank 1 has Short circuit to positive."
"4226","The proportioning valve bank 1 has Short circuit to ground."
"4227","Internal control module error"
"4228","No SCRT® system is installed."
"4229","The measurement value(s) from the SCRT® temperature sensors (pair A) is/are implausible."
"4230","The measurement value(s) from the SCRT® temperature sensors (pair B) is/are implausible."
"4231","No diesel particulate filter is installed."
"4232","The measurement value of the differential pressure sensor upstream of the diesel particulate filter is implausible."
"4233","The measurement value of the differential pressure sensor downstream of the diesel particulate filter is implausible."
"4234","Excessive nitrogen oxide emission due to unknown cause (threshold 2 exceeded)"
"4235","Excessive nitrogen oxide emission due to low quality AdBlue"
"4236","Excessive nitrogen oxide emission due to insufficient AdBlue dosage"
"4237","The measurement value of the NOx sensor is implausible."
"4238","The temperature in the diesel particulate filter is too low."
"4239","Sensor bank 1 in control unit MR has a short circuit."
"4240","Sensor bank 2 in control unit MR has a short circuit."
"4242","Sensor bank 2 in SCR frame module has a short circuit."
"4243","Sensor bank 3 in SCR frame module has a short circuit."
"4244","FaultNOx sensor"
"4245","Component 'NOx sensor' is defective."
"4246","Excessive untreated nitrogen oxide emission"
"4247","Component 'Catalytic converter' is defective."
"4248","Poor AdBlue quality or insufficient AdBlue dosage"
"4249","Poor AdBlue quality, insufficient AdBlue dosage or defective SCR catalytic converter"
"4250","Water pump has Short circuit to ground."
"4251","Water pump has Open circuit."
"4252","Water pump has Short circuit to positive."
"4253","The pressure in the reservoir bladder is outside permissible range."
"4254","General actuator error of continuously variable exhaust flap for diesel particulate filter"
"4255","Continuously variable exhaust flap for diesel particulate filter has Short circuit to ground."
"4256","Continuously variable exhaust flap for diesel particulate filter has Short circuit to positive."
"4257","Continuously variable exhaust flap for diesel particulate filter has Open circuit."
"4258","Regeneration of diesel particulate filter not completed successfully."
"4259","Charge air pressure in throttle valve too low."
"4261","System error at component Constant throttle"
"4262","Internal fault in control unitThe boot software of the software module is missing or faulty."
"4415","Temperature sensor T4 has Short circuit to positive or Short circuit to positive."
"4416","Temperature sensor T4 has Short circuit to ground."
"4422","The temperature at temperature sensor T4 is too high."
"4600","Control module SCR signals fault.Component AdBlue temperature sensor has Short circuit to ground."
"4601","Control module SCR signals fault.Component AdBlue temperature sensor has Short circuit to positive,Open circuit."
"4602","Control module SCR signals fault.Component AdBlue pressure sensor has Short circuit to ground."
"4603","Control module SCR signals fault.Component AdBlue pressure sensor has Short circuit to positive,Open circuit."
"4604","Control module SCR signals fault.The supply voltage of the sensors is too low (undervoltage)."
"4605","Control module SCR signals fault.The supply voltage of the sensors is too high (overvoltage)."
"4606","Control module SCR signals fault.The ground line of component AdBlue metering valve has Short circuit to ground."
"4607","Control module SCR signals fault.The ground line of component AdBlue metering valve has Short circuit to positive."
"4608","Control module SCR signals fault.The ground line of component AdBlue metering valve has Open circuit."
"4609","Control module SCR signals fault.The ground line of the heater has Short circuit to ground."
"4610","Control module SCR signals fault.The ground line of the heater has Short circuit to positive."
"4611","Control module SCR signals fault.The ground line of the heater has Open circuit."
"4612","Control module SCR signals fault.High-side output 1 has Short circuit to ground."
"4613","Control module SCR signals fault.High-side output 1 has Short circuit to positive."
"4614","Control module SCR signals fault.High-side output 2 has Short circuit to ground."
"4615","Control module SCR signals fault.High-side output 2 has Short circuit to positive."
"4616","Control module SCR signals fault.Undervoltage"
"4617","Control module SCR signals fault.Overvoltage"
"4618","Control module SCR signals fault.The ground line of component AdBlue pump has Short circuit to ground."
"4619","Control module SCR signals fault.The ground line of component AdBlue pump has Short circuit to positive."
"4620","Control module SCR signals fault.The ground line of component AdBlue pump has Open circuit."
"4621","Control module SCR signals fault.The contamination limit of the AdBlue® filter has almost been reached."
"4622","Control module SCR signals fault.The contamination limit of the AdBlue® filter has been exceeded."
"4623","Control module SCR signals fault.The rpm of component 'AdBlue pump' is too high."
"4624","Control module SCR signals fault.The rpm of component 'AdBlue pump' is too low."
"4626","Control module SCR signals fault.The rpm of component 'AdBlue pump' is implausible."
"4627","Control module SCR signals fault.AdBlue pump jammed"
"4628","Control module SCR signals fault.The rpm difference of the AdBlue® pump between low and high metering quantities is too small."
"4629","Internal error in control unit SCR"
"4630","Internal error in control unit SCR"
"4631","Control module SCR signals fault.The bleed valve is defective."
"4632","Control module SCR signals fault.Component AdBlue pump is defective."
"4634","Control module SCR signals fault.The data set is invalid."
"4635","Control module SCR signals fault.The AdBlue® metering unit is defective."
"4636","Control module SCR signals fault.The AdBlue® supply unit is defective."
"4637","Control module SCR signals fault.The rpm variation of the component 'AdBlue pump' is too great."
"4638","The data set does not match the control unit version."
"4639","SCR-LO:No communication is possible with control unit SCR."
"4640","SCR-LO:The NOx sensor has a communication fault."
"4641","SCR-LO:Proportioning valve 7 has Open circuit."
"4642","SCR-LO:The ground line of component Proportional valve 7 has Short circuit to positive."
"4643","SCR-LO:The ground line of component Proportional valve 7 has Short circuit to ground."
"4644","SCR-LO:Component Air humidity sensor has Short circuit to positive,Open circuit."
"4645","SCR-LO:Component Air humidity sensor has Short circuit to ground."
"4646","SCR-LO:Sensor 'Intake air temperature' has Short circuit to positive,Open circuit."
"4647","SCR-LO:Sensor 'Intake air temperature' has Short circuit to ground."
"4648","SCR-LO:The fill level sensor of the AdBlue tank indicates an excessively high value."
"4649","SCR-LO:The fill level sensor of the AdBlue tank indicates an excessively low value."
"4650","SCR-LO:Temperature sensor of AdBlue tanks has Short circuit to positive,Open circuit."
"4651","SCR-LO:Temperature sensor of AdBlue tanks has Short circuit to ground."
"4652","SCR-LO:Temperature sensor upstream of catalytic converter has Short circuit to positive,Open circuit."
"4653","SCR-LO:Temperature sensor upstream of catalytic converter has Short circuit to ground."
"4654","SCR-LO:Temperature sensor downstream of catalytic converter has Short circuit to positive,Open circuit."
"4655","SCR-LO:Temperature sensor downstream of catalytic converter has Short circuit to ground."
"4656","SCR-LO:The contamination limit of the AdBlue® filter has almost been reached."
"4657","SCR-LO:The contamination limit of the AdBlue® filter has been exceeded."
"4805","A unit pump of bank 1 has Short circuit to positive."
"4806","The return of the unit pumps of bank 1 has Short circuit to ground."
"4905","A unit pump of bank 2 has Short circuit to positive."
"4906","The return of the unit pumps of bank 2 has Short circuit to ground."
"5026","Unit pump for cylinder 1: valve no impact"
"5027","Unit pump for cylinder 1: Actuation fault"
"5028","Unit pump for cylinder 1: short circuit"
"5126","Unit pump for cylinder 2: valve no impact"
"5127","Unit pump for cylinder 2: Actuation fault"
"5128","Unit pump for cylinder 2: short circuit"
"5226","Unit pump for cylinder 3: valve no impact"
"5227","Unit pump for cylinder 3: Actuation fault"
"5228","Unit pump for cylinder 3: short circuit"
"5326","Unit pump for cylinder 4: valve no impact"
"5327","Unit pump for cylinder 4: Actuation fault"
"5328","Unit pump for cylinder 4: short circuit"
"5426","Unit pump for cylinder 5: valve no impact"
"5427","Unit pump for cylinder 5: Actuation fault"
"5428","Unit pump for cylinder 5: short circuit"
"5526","Unit pump for cylinder 6: valve no impact"
"5527","Unit pump for cylinder 6: Actuation fault"
"5528","Unit pump for cylinder 6: short circuit"
"5626","Unit pump for cylinder 7: valve no impact"
"5627","Unit pump for cylinder 7: Actuation fault"
"5628","Unit pump for cylinder 7: short circuit"
"5726","Unit pump for cylinder 8: valve no impact"
"5727","Unit pump for cylinder 8: Actuation fault"
"5728","Unit pump for cylinder 8: short circuit"
"5806","AdBlue line heater has Short circuit to ground."
"5807","AdBlue line heater has Short circuit to positive."
"5809","AdBlue line heater has Open circuit."
"5869","AdBlue line heater is defective."
"5906","Solenoid valve of AdBlue tank heater has Short circuit to ground."
"5907","Solenoid valve of AdBlue tank heater has Short circuit to positive."
"5909","Solenoid valve of AdBlue tank heater has Open circuit."
"5969","Heat valve of AdBlue tank is defective."
"6015","Fill level sensor of AdBlue tank has Short circuit to positive, Open circuit."
"6016","Fill level sensor of AdBlue tank has Short circuit to ground."
"6029","Fill level of AdBlue tank is too low."
"6115","Temperature sensor of AdBlue tanks has Short circuit to positive, Open circuit."
"6116","Temperature sensor of AdBlue tanks has Short circuit to ground."
"6169","Sensor 'Fill level/temperature of AdBlue tank' is defective."
"6293","Internal error in the SCR frame module"
"6327","Actuation of OBD lamp is faulty."
"6409","The heater flange has Open circuit."
"6432","Fault at heater flange"
"6506","The diagnostic cable of the oil separator has Short circuit to ground."
"6564","The diagnostic cable of the oil separator has Open circuit or Short circuit to positive."
"6678","The EGR valve is faulty."
"6679","Temperature difference between exhaust gas and coolant is implausible."
"6720","AdBlue pressure is too high."
"6721","AdBlue pressure is too low."
"6770","AdBlue pressure drop is too low during run-on."
"6777","Power consumption of AdBlue pump is too high."
"6820","SCR air pressure is too high."
"6821","SCR air pressure is too low."
"6883","The air supply of the SCR compressed air system is faulty."
"6949","Parameterizing error"
"6994","Exhaust gas aftertreatment switched off and diagnosis routine active"
"6995","Exhaust gas aftertreatment switched off and diagnosis routine active"
"7006","Proportioning valve 1 has Short circuit to ground."
"7007","Proportioning valve 1 has Short circuit to positive."
"7009","Proportioning valve 1 has Open circuit."
"7106","Proportioning valve 3 has Short circuit to ground."
"7107","Proportioning valve 3 has Short circuit to positive."
"7109","Proportioning valve 3 has Open circuit."
"7112","Proportioning valve 3:No fan speed"
"7206","Proportioning valve 4 has Short circuit to ground."
"7207","Proportioning valve 4 has Short circuit to positive."
"7209","Proportioning valve 4 has Open circuit."
"7305","Proportioning valve 2 has Short circuit to positive."
"7306","Proportioning valve 2 has Short circuit to ground."
"7307","Proportioning valve 2 has Short circuit to positive."
"7309","Proportioning valve 2 has Open circuit."
"7317","Proportioning valve 2:Current implausible"
"7405","Proportioning valve 5 has Short circuit to positive."
"7408","Proportioning valve 5 has Short circuit to ground."
"7542","Battery voltage too high"
"7543","Battery voltage too low"
"7606","Proportioning valve 6 has Short circuit to ground."
"7607","Proportioning valve 6 has Short circuit to positive."
"7609","Proportioning valve 6 has Open circuit."
"7705","The proportioning valve bank 1 has Short circuit to positive."
"7708","The proportioning valve bank 1 has Short circuit to ground."
"7805","The proportioning valve bank 2 has Short circuit to positive."
"7808","The proportioning valve bank 2 has Short circuit to ground."
"7905","Proportioning valve bank 'SCR frame module' has Short circuit to positive."
"7908","Proportioning valve bank 'SCR frame module' has Short circuit to ground."
"8005","Terminal 50 on series relay(Short circuit to positive)"
"8008","Terminal 50 on series relay(Short circuit to ground)"
"8009","Terminal 50 on series relay(Open circuit)"
"8033","Series relay defective"
"8039","Starter actuation (output stage) faulty"
"8086","Starter does not engage"
"8106","SCR compressed air shutoff valve has Short circuit to ground."
"8107","SCR compressed air shutoff valve has Short circuit to positive."
"8109","SCR compressed air shutoff valve has Open circuit."
"8206","AdBlue metering valve has Short circuit to ground."
"8207","AdBlue metering valve has Short circuit to positive."
"8209","AdBlue metering valve has Open circuit."
"8315","AdBlue temperature sensor has Open circuit, Short circuit to positive."
"8316","AdBlue temperature sensor has Short circuit to ground."
"8415","AdBlue pressure sensor has Short circuit to positive, Open circuit."
"8416","AdBlue pressure sensor has Short circuit to ground."
"8417","Measured value of AdBlue pressure sensor is implausible."
"8515","SCR compressed air sensor has Short circuit to positive, Open circuit."
"8516","SCR compressed air sensor has Short circuit to ground."
"8517","Measured value of SCR compressed air sensor is implausible."
"8690","Current AdBlue consumption is too high."
"8691","Current AdBlue consumption is too low."
"8790","Average AdBlue consumption is too high."
"8791","Average AdBlue consumption is too low."
"8896","AdBlue pressure is implausible."
"8906","AdBlue metering valve on SCR frame module has Short circuit to ground."
"8907","AdBlue metering valve on SCR frame module has Short circuit to positive."
"8909","AdBlue metering valve on SCR frame module has Open circuit."
"9044","Unit pump cylinder 1: smooth idle control within limit"
"9045","Unit pump cylinder 1: single cylinder adjustment within limit"
"9144","Unit pump cylinder 2: smooth idle control within limit"
"9145","Unit pump cylinder 2: single cylinder adjustment within limit"
"9244","Unit pump cylinder 3: smooth idle control within limit"
"9245","Unit pump cylinder 3: single cylinder adjustment within limit"
"9344","Unit pump cylinder 4: smooth idle control within limit"
"9345","Unit pump cylinder 4: single cylinder adjustment within limit"
"9444","Unit pump cylinder 5: smooth idle control within limit"
"9445","Unit pump cylinder 5: single cylinder adjustment within limit"
"9544","Unit pump cylinder 6: smooth idle control within limit"
"9545","Unit pump cylinder 6: single cylinder adjustment within limit"
"9644","Unit pump cylinder 7: smooth idle control within limit"
"9645","Unit pump cylinder 7: single cylinder adjustment within limit"
"9744","Unit pump cylinder 8: smooth idle control within limit"
"9745","Unit pump cylinder 8: single cylinder adjustment within limit"
"9846","Single cylinder comparison aborted"
"9960","Too many keys"
"9961","Immobilizer guard function active, control unit MR engine control blocked"
"9962","Immobilizer in MR engine control activated"
"9963","No transponder code through engine CAN bus"
"9964","No transponder code through terminal 50"
"9965","Incorrect transponder key"
"4271","Abort of automatic compression test"
"4272","Abort of automatic compression test"
"4273","The measuring range of the temperature sensor of the component 'Pump, line, jet (PLD) control unit' has been exceeded."
"R","FR drive control"
"110","No CAN message from ABS Anti-lock Braking System or BS brake control (EPB) or message incorrect"
"111","No or incorrect CAN message from control unit GS Gear control"
"112","No or incorrect CAN message from control unit KS clutch control"
"113","No or incorrect CAN message from control unit RS Retarder control"
"114","No or incorrect CAN message from control unit INS Instrument"
"115","No or incorrect CAN message from control unit PSM Parameterizable Special Module"
"116","Vehicle CAN bus has Open circuit or Short circuit to positive or Short circuit to ground."
"117","No or incorrect CAN message from control unit WSK torque converter-clutch"
"119","No or incorrect CAN message from control unit KWS Articulation angle control"
"201","Engine CAN to MR engine control in single-wire mode"
"202","No or incorrect CAN message from control unit MR engine control"
"203","Engine CAN to MR engine control interrupted"
"306","Engine CAN to FLA flame starting system interrupted"
"416","Vehicle CAN bus has Open circuit or Short circuit to positive."
"418","Vehicle CAN bus has Short circuit to positive or Short circuit to ground."
"1120","'D+ input' has Short circuit to positive."
"1125","'D+ input' has Open circuit or Short circuit to ground."
"1223","Clutch pedal switch 1 has Open circuit."
"1323","Parking brake switch III-15/9 faulty or has short circuit."
"1421","Brake pedal switch has Open circuit."
"1423","Brake pedal switch has Short circuit to positive or Short circuit to ground."
"1523","'Engine control / continuous brake' operating lever has Open circuit or Short circuit to ground."
"1524","""Engine control / continuous brake"" operating lever has Short circuit to positive."
"1526","""Engine control / continuous brake"" operating lever has Short circuit to positive."
"1623","Clutch pedal switches 1 and 2: incorrect adjustment or switches sticking"
"1723","Neutral position switch, VI-18/16 faulty/ switch stuck"
"1923","Splitter switch, II-18/11 and II-18/12 Open circuit/ faulty"
"2023","Engine brake switch of ""Engine control / continuous brake"" operating lever faulty"
"2120","Square-wave output GSV 1 (pulsed switch supply) has Short circuit to positive."
"2122","Square-wave output GSV 1 (pulsed switch supply) has Short circuit to ground."
"2220","Square-wave output GSV 2 (pulsed switch supply) has Short circuit to positive."
"2222","Square-wave output GSV 2 (pulsed switch supply) has Short circuit to ground."
"2320","Square-wave output GSV 3 (pulsed switch supply) has Short circuit to positive."
"2322","Square-wave output GSV 3 (pulsed switch supply) has Short circuit to ground."
"2420","Square-wave output GSV 4 (pulsed switch supply) has Short circuit to positive."
"2422","Square-wave output GSV 4 (pulsed switch supply) has Short circuit to ground."
"2520","Square-wave outputs (pulsed switch supply) GSV 1 and GSV 4 have Short circuit to positive."
"2522","Square-wave outputs (pulsed switch supply) GSV 1 and GSV 4 have Short circuit to ground."
"2620","Square-wave outputs (pulsed switch supply) GSV 2 and GSV 3 have Short circuit to positive."
"2622","Square-wave outputs (pulsed switch supply) GSV 2 and GSV 3 have Short circuit to ground."
"2720","Output to oil level switch (3-channel ABS) has Short circuit to positive."
"2721","Output to oil level switch (3-channel ABS) has Open circuit."
"3021","Circuit 30 has Open circuit."
"3031","Overvoltage at terminal 30"
"3032","Undervoltage at terminal 30"
"3130","Coolant level switch 15B01 or air filter monitoring sensor 10B01 faulty, voltage supply III-15/3 has Open circuit or Short circuit to positive or Short circuit to ground."
"3233","Air filter monitoring sensor faulty"
"3236","Soiling limit of air cleaner is reached."
"3330","Ambient air temperature sensor has Open circuit or Short circuit to positive or Short circuit to ground."
"3430","Clutch position sensor not within permissible range"
"3533","Coolant level switch is faulty."
"3634","Maximum wear of clutch lining is reached."
"3635","Clutch position sensor not within permissible range"
"4041","'W-signal' input has Open circuit or Short circuit to ground or Short circuit to positive."
"4141","'Transmission input speed signal' faulty, frequency fault"
"4145","Transmission input speed sensor has Open circuit or Short circuit to positive or Short circuit to ground."
"4341","Invalid speed signal"
"4345","V-signal input has Open circuit or Short circuit to positive or Short circuit to ground."
"4440","The first branch of the foot throttle actuator has Open circuit or Short circuit to positive or Short circuit to ground."
"4540","The second branch of the foot throttle actuator has Open circuit or Short circuit to positive or Short circuit to ground."
"4641","Foot throttle actuator faulty"
"4642","Foot throttle actuator does not reach idle throttle stop."
"4643","Foot throttle actuator not within learned range"
"4644","Foot throttle actuator stiff in operation"
"5051","Solenoid valve 1 (actuation of engine brake 1) has Open circuit or Short circuit to positive."
"5052","Solenoid valve 1 (actuation of engine brake 1) has Short circuit to ground."
"5053","Solenoid valve 1 (actuation of engine brake 1) has Short circuit to positive."
"5054","Solenoid valve 1 (actuation of engine brake 1) has Open circuit."
"5151","Solenoid valve 2 (actuation of engine brake 2) has Open circuit or Short circuit to positive."
"5152","Solenoid valve 2 (actuation of engine brake 2) has Short circuit to ground."
"5153","Solenoid valve 2 (actuation of engine brake 2) has Short circuit to positive."
"5154","Solenoid valve 2 (actuation of engine brake 2) has Open circuit."
"5252","MBA engine brake output valve connection has Short circuit to ground."
"5253","MBA engine brake output valve connection has Short circuit to positive."
"5351","Output IV 18/7 or IV 18/8 has Open circuit or Short circuit to positive."
"5352","Splitter solenoid valve 1 has Short circuit to ground."
"5353","Splitter solenoid valve 1 has Short circuit to positive."
"5354","Splitter solenoid valve 1 has Open circuit."
"5451","Output IV 18/7 or IV 18/10 has Open circuit or Short circuit to positive."
"5452","Splitter solenoid valve 2 has Short circuit to ground."
"5453","Splitter solenoid valve 2 has Short circuit to positive."
"5454","Splitter solenoid valve 2 has Open circuit."
"5552","Output IV 18/7 or IV 15/8 has Short circuit to ground."
"5553","Output IV 18/7 or IV 15/8 has Short circuit to positive."
"5651","'Brake light actuation' output has Open circuit or Short circuit to positive."
"5652","'Brake light actuation' output has Short circuit to ground."
"5653","'Brake light actuation' output has Short circuit to positive."
"5654","'Brake light actuation' output has Open circuit."
"5751","'Reversing light actuation' output has Open circuit or Short circuit to positive."
"5752","'Reversing light actuation' output has Short circuit to ground."
"5753","'Reversing light actuation' output has Short circuit to positive."
